run,Ebar_star_GPa,E_ratio,kbar_star,sigma_c_bar_MPa,coh_ratio,mu,phi_bar_deg,beta_bar_moment,Rf,beta_weibull,R_sigma,R_E,R_k
1,100,0.2,1,75,1,0.5,40,0.3,0.3,3,0.1,0.1,1
2,100,0.2,1,75,2,0.8,60,0.5,0.5,8,0.2,0.2,2
3,100,0.2,1,75,3,1.1,80,0.7,0.7,13,0.3,0.3,3
4,100,0.3,2,100,1,0.5,40,0.5,0.5,8,0.3,0.3,3
5,100,0.3,2,100,2,0.8,60,0.7,0.7,13,0.1,0.1,1
6,100,0.3,2,100,3,1.1,80,0.3,0.3,3,0.2,0.2,2
7,100,0.4,3,125,1,0.5,40,0.7,0.7,13,0.2,0.2,2
8,100,0.4,3,125,2,0.8,60,0.3,0.3,3,0.3,0.3,3
9,100,0.4,3,125,3,1.1,80,0.5,0.5,8,0.1,0.1,1
10,200,0.2,2,125,1,0.8,80,0.3,0.5,13,0.1,0.2,3
11,200,0.2,2,125,2,1.1,40,0.5,0.7,3,0.2,0.3,1
12,200,0.2,2,125,3,0.5,60,0.7,0.3,8,0.3,0.1,2
13,200,0.3,3,75,1,0.8,80,0.5,0.7,3,0.3,0.1,2
14,200,0.3,3,75,2,1.1,40,0.7,0.3,8,0.1,0.2,3
15,200,0.3,3,75,3,0.5,60,0.3,0.5,13,0.2,0.3,1
16,200,0.4,1,100,1,0.8,80,0.7,0.3,8,0.2,0.3,1
17,200,0.4,1,100,2,1.1,40,0.3,0.5,13,0.3,0.1,2
18,200,0.4,1,100,3,0.5,60,0.5,0.7,3,0.1,0.2,3
19,300,0.2,3,100,1,1.1,60,0.3,0.7,8,0.1,0.3,2
20,300,0.2,3,100,2,0.5,80,0.5,0.3,13,0.2,0.1,3
21,300,0.2,3,100,3,0.8,40,0.7,0.5,3,0.3,0.2,1
22,300,0.3,1,125,1,1.1,60,0.5,0.3,13,0.3,0.2,1
23,300,0.3,1,125,2,0.5,80,0.7,0.5,3,0.1,0.3,2
24,300,0.3,1,125,3,0.8,40,0.3,0.7,8,0.2,0.1,3
25,300,0.4,2,75,1,1.1,60,0.7,0.5,3,0.2,0.1,3
26,300,0.4,2,75,2,0.5,80,0.3,0.7,8,0.3,0.2,1
27,300,0.4,2,75,3,0.8,40,0.5,0.3,13,0.1,0.3,2
